filename,loops,nested loops,conditionals,switch statements,recursion,exception-based control flow,arrays,collections,maps,recursive data structures,integers,floats,boolean,enumerations,strings,inheritance,interfaces,anonymous classes,abstract classes,polymorphism,generics,raw types,object casting,primitive casting,instance methods,static methods,threads,synchronization,interleavings,lambdas,Network and File I/O,GUI,RE Pattern Syntax,streams,reflection,Math
.\argv-mhe\DescribeSchemaHandler_false\Main.java,NO,NO,YES,NO,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\DescribeSchemaHandler_true\Main.java,NO,NO,YES,NO,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\DexLoadReporter_exceptionless\Main.java,NO,NO,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\DexLoadReporter_exceptionprone\Main.java,NO,NO,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\DrillOnYarnConfig_false\Main.java,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
.\argv-mhe\DrillOnYarnConfig_true\Main.java,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
.\argv-mhe\DrmInfoEvent_exceptionless\Main.java,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\DrmInfoEvent_exceptionprone\Main.java,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\DruidLockTableParser_false\Main.java,NO,NO,YES,NO,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\DruidLockTableParser_true\Main.java,NO,NO,YES,NO,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\EndElementEvent_false\Main.java,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
.\argv-mhe\EndElementEvent_true\Main.java,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
.\argv-mhe\ExecutionConcurrencySummary_false\Main.java,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\ExecutionConcurrencySummary_true\Main.java,NO,NO,YES,NO,YES,YES,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\FullScreenUtilities_false\Main.java,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
.\argv-mhe\FullScreenUtilities_true\Main.java,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
.\argv-mhe\GuideContentServiceImpl_false\Main.java,NO,NO,YES,NO,YES,YES,NO,NO,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\GuideContentServiceImpl_true\Main.java,NO,NO,YES,NO,YES,YES,NO,NO,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\ImageDataContentHandler_false\Main.java,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
.\argv-mhe\ImageDataContentHandler_true\Main.java,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
.\argv-mhe\JavaWebClassVisitor_false\Main.java,NO,NO,YES,NO,YES,NO,YES,YES,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\JavaWebClassVisitor_true\Main.java,NO,NO,YES,NO,YES,NO,YES,YES,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\JuelExpressionManager_exceptionless\Main.java,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO
.\argv-mhe\JuelExpressionManager_exceptionprone\Main.java,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO
.\argv-mhe\KeywordSearchJobSettings_false\Main.java,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\KeywordSearchJobSettings_true\Main.java,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\ListEntityViewBuilderListener_false\Main.java,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\ListEntityViewBuilderListener_true\Main.java,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\LocalEventPublisher_false\Main.java,NO,NO,YES,NO,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
.\argv-mhe\LocalEventPublisher_true\Main.java,NO,NO,YES,NO,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
.\argv-mhe\MbmsStreamingSession_false\Main.java,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\MbmsStreamingSession_true\Main.java,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\MediaCas_exceptionless\Main.java,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\MediaCas_exceptionprone\Main.java,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\MediaFormat_false\Main.java,NO,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\MediaFormat_true\Main.java,NO,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\MessagePdu_false\Main.java,NO,NO,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\MessagePdu_true\Main.java,NO,NO,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\MuxingAttributeSet_false\Main.java,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO
.\argv-mhe\MuxingAttributeSet_true\Main.java,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO
.\argv-mhe\MWTAnnotator_exceptionless\Main.java,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\MWTAnnotator_exceptionprone\Main.java,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\NetworkUtils_false\Main.java,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\NetworkUtils_true\Main.java,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\NotificationCenter_false\Main.java,YES,NO,YES,NO,YES,NO,YES,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO
.\argv-mhe\NotificationCenter_true\Main.java,YES,NO,YES,NO,YES,NO,YES,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO
.\argv-mhe\OFDDoc_exceptionless\Main.java,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO
.\argv-mhe\OFDDoc_exceptionprone\Main.java,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO
.\argv-mhe\OFDGraphicsDocument_false\Main.java,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO
.\argv-mhe\OFDGraphicsDocument_true\Main.java,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO
.\argv-mhe\PasswordSlotManager_exceptionless\Main.java,NO,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
.\argv-mhe\PasswordSlotManager_exceptionprone\Main.java,NO,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
.\argv-mhe\PreferencesIO_false\Main.java,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\PreferencesIO_true\Main.java,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\PropertiesMetalTheme_exceptionless\Main.java,NO,NO,YES,NO,YES,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
.\argv-mhe\PropertiesMetalTheme_exceptionprone\Main.java,NO,NO,YES,NO,NO,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
.\argv-mhe\RegionTextExtractorFilter_false\Main.java,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
.\argv-mhe\RegionTextExtractorFilter_true\Main.java,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
.\argv-mhe\ResolveResult_false\Main.java,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\ResolveResult_true\Main.java,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\RestLiConfig_false\Main.java,NO,NO,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO
.\argv-mhe\RestLiConfig_true\Main.java,NO,NO,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO
.\argv-mhe\RpcServiceRegistry_exceptionless\Main.java,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\RpcServiceRegistry_exceptionprone\Main.java,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\ServicePropertiesJsonSerializer_exceptionless\Main.java,NO,NO,YES,NO,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\ServicePropertiesJsonSerializer_exceptionprone\Main.java,NO,NO,YES,NO,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\ShortcutHelper_false\Main.java,YES,NO,YES,NO,YES,NO,NO,YES,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\ShortcutHelper_true\Main.java,YES,NO,YES,NO,YES,NO,NO,YES,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\SipTransportImplBase_exceptionless\Main.java,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO
.\argv-mhe\SipTransportImplBase_exceptionprone\Main.java,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO
.\argv-mhe\TaggerConfig_false\Main.java,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
.\argv-mhe\TaggerConfig_true\Main.java,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
.\argv-mhe\TreeUtil_false\Main.java,YES,NO,YES,NO,YES,NO,YES,YES,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
.\argv-mhe\TreeUtil_true\Main.java,YES,NO,YES,NO,YES,NO,YES,YES,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
.\argv-mhe\ViewHierarchyEncoder_false\Main.java,NO,NO,YES,NO,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
.\argv-mhe\ViewHierarchyEncoder_true\Main.java,NO,NO,YES,NO,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
.\argv-tasks\AbstractChart_exceptionless\Main.java,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-tasks\AbstractChart_exceptionprone\Main.java,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-tasks\AbstractSerializationStreamReader_false\Main.java,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-tasks\AbstractSerializationStreamReader_true\Main.java,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-tasks\AccelerometerListener_false\Main.java,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
.\argv-tasks\AccelerometerListener_true\Main.java,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
.\argv-tasks\ActiveCheck\Main.java,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-tasks\AlbersProjection_false\Main.java,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
.\argv-tasks\AlbersProjection_true\Main.java,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
.\argv-tasks\Base\Main.java,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-tasks\Base64\Main.java,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-tasks\BufferedBlockCipher\Main.java,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-tasks\Constant_false\Main.java,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-tasks\Constant_true\Main.java,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-tasks\CorrelationUtils_exceptionless\Main.java,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
